              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   21.62   16  0.34   3  3 94  1.14 1.39 1.64
    7.29  235  1.68   6  4 90  1.14 1.39 1.64
    7.40  312  2.25   5  8 86  1.14 1.39 1.64
   34.38  159  5.35   3  3 94  1.14 1.39 1.64
    7.46  223  1.62   6  6 88  1.14 1.39 1.64
    5.16   62  0.31   8 11 81  1.29 1.42 1.65
    4.00    3  0.01  15  6 79  1.29 1.42 1.65
    4.00    1  0.00   6  5 89  1.29 1.42 1.65
   12.81  567  7.09   5  7 88  1.29 1.42 1.65
    6.50   16  0.10  12  9 79  1.29 1.42 1.65
    6.38   37  0.23   5  4 91  1.26 1.41 1.64
    5.89   53  0.30   7  6 87  1.26 1.41 1.64
    4.00    2  0.01  15  5 80  1.26 1.41 1.64
   38.22    9  0.34   4  4 92  1.26 1.41 1.64
    4.00    1  0.00   2  3 95  1.26 1.41 1.64
    4.00    1  0.00   3  4 93  1.32 1.42 1.65
    4.00    1  0.00   4  3 93  1.32 1.42 1.65
   30.00    4  0.12   4  5 91  1.32 1.42 1.65
   44.17  159  6.86   1  2 97  1.32 1.42 1.65
    4.00    2  0.01   4  3 93  1.32 1.42 1.65
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.36  187  0.98   1  2 97  1.30 1.41 1.64
    4.00    1  0.00   1  3 96  1.30 1.41 1.64
    4.00    1  0.00   1  2 97  1.30 1.41 1.64
    4.00    1  0.00   1  2 97  1.30 1.41 1.64
    4.00    1  0.00   1  2 97  1.30 1.41 1.64
    4.00    1  0.00   1  3 96  1.27 1.41 1.64
    4.00    1  0.00   2  3 95  1.27 1.41 1.64
    4.00    1  0.00   1  3 96  1.27 1.41 1.64
   40.00   11  0.43   1  4 95  1.27 1.41 1.64
    4.73   11  0.05   1  2 97  1.27 1.41 1.64
    4.80   10  0.05   1  2 97  1.33 1.42 1.64
    4.00    1  0.00   1  2 97  1.33 1.42 1.64
    4.00    1  0.00   2  3 95  1.33 1.42 1.64
    4.00    2  0.01   9  7 84  1.33 1.42 1.64
   38.67    3  0.11   8  6 86  1.33 1.42 1.64
   36.41   29  1.03  11  8 80  1.54 1.46 1.65
   12.00   42  0.49  22 15 64  1.54 1.46 1.65
   12.70   80  0.99  12 11 76  1.54 1.46 1.65
   21.75  527 11.20  15 11 74  1.54 1.46 1.65
    6.11  108  0.64  20  9 71  1.54 1.46 1.65
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.00    4  0.03   6  6 88  1.42 1.43 1.64
    4.80    5  0.02   6  5 89  1.42 1.43 1.64
  130.00    4  0.51   7  8 85  1.42 1.43 1.64
   39.98  216  8.45   9  5 86  1.42 1.43 1.64
    4.00    1  0.00   3  2 95  1.42 1.43 1.64
    5.00    4  0.02   2  2 96  1.31 1.41 1.63
    4.00    2  0.01   3  3 94  1.31 1.41 1.63
    4.00    8  0.03   4  4 92  1.31 1.41 1.63
   27.91   47  1.27  14  9 77  1.31 1.41 1.63
    4.00    5  0.02   6  5 89  1.31 1.41 1.63
    4.67   12  0.05   5  4 91  1.36 1.42 1.64
    4.00    1  0.00   6  5 89  1.36 1.42 1.64
   10.27   44  0.44  21  7 72  1.36 1.42 1.64
    6.72   25  0.16  19  7 75  1.36 1.42 1.64
    4.00    1  0.00   6  5 90  1.36 1.42 1.64
    4.00    1  0.00   4  5 91  1.49 1.44 1.64
   11.05   38  0.41  20  7 73  1.49 1.44 1.64
    4.00    2  0.01   5  4 91  1.49 1.44 1.64
    4.00    9  0.04   5  4 91  1.49 1.44 1.64
   10.44   18  0.18   7  5 88  1.49 1.44 1.64
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.00    1  0.01   5  2 93  1.45 1.44 1.64
    4.80    5  0.02   3  3 95  1.45 1.44 1.64
    4.00    2  0.01   3  2 94  1.45 1.44 1.64
    4.00    1  0.00   2  2 96  1.45 1.44 1.64
    4.00    1  0.00   4  3 93  1.45 1.44 1.64
    4.00    2  0.01   1  2 97  1.34 1.41 1.63
    4.00    1  0.00   2  2 96  1.34 1.41 1.63
   29.60    5  0.14   4  3 93  1.34 1.41 1.63
    9.91  528  5.11   5  7 88  1.34 1.41 1.63
    4.00    3  0.01   4  4 92  1.34 1.41 1.63
