Processes: 411 total, 4 running, 407 sleeping, 1814 threads 
2018/10/10 10:38:01
Load Avg: 1.87, 1.65, 1.67 
CPU usage: 12.91% user, 14.16% sys, 72.91% idle 
SharedLibs: 189M resident, 56M data, 18M linkedit.
MemRegions: 93775 total, 4977M resident, 138M private, 1459M shared.
PhysMem: 15G used (2855M wired), 958M unused.
VM: 1863G vsize, 1302M framework vsize, 3123227(0) swapins, 3634695(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
99292  netbiosd         0.0  00:00.19 2     2   27     2636K  0B     0B     99292 1     sleeping *0[1]      0.00000 0.00000    222 3532     165    122       39        9047      281       2431      0       0     0.0   0      0      _netbios               N/A    N/A   N/A   N/A   N/A   N/A  
99290  natpmpd          0.0  00:01.21 1     0   10     2092K  0B     0B     98642 98642 sleeping *0[1]      0.00000 0.00000    0   1596     89     14        7         77284     57        62864     0       0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
99286  AirPort Base Sta 0.0  00:00.02 3     1   44     996K   0B     0B     99286 1     sleeping  0[0]      0.00000 0.00000    501 1763     131    134       39        1225      334       92        0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
98996  EmbeddedOSInstal 0.0  00:00.03 2     2   24     1768K  0B     0B     98996 1     sleeping *0[2]      0.00000 0.00000    0   3243     171    113       47        811       223       93        38      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
98807  NowPlayingTouchU 0.0  00:01.74 3     1   188    14312K 0B     0B     98807 1     sleeping *255[6]    0.00000 0.00000    501 11334    314    11668     3813      166071    31318     15715     110     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
98783  VisualizerServic 0.0  00:00.70 3     1   145    5636K  0B     0B     98783 1     sleeping  0[678]    0.00000 0.00000    501 6298     285    6357      1873      211584    21770     9395      36      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
98781  iTunes           0.0  02:03.10 23    2   605    198M   1192K  0B     98781 1     sleeping *298[7]    0.00000 0.00000    501 866805   2010   532070    50816     6343683   878898    1120740   9893    0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
98714  AssetCacheLocato 0.0  00:00.16 3     1   54     3672K  0B     0B     98714 1     sleeping *0[7]      0.00000 0.00000    235 3020     190    280       383       4948      963       3118      58      0     0.0   0      0      _assetcache            N/A    N/A   N/A   N/A   N/A   N/A  
98652  com.apple.Commer 0.0  00:00.08 2     2   40     3004K  0B     0B     98652 1     sleeping  0[0]      0.00000 0.00000    501 4062     183    159       54        1510      360       311       59      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
98642  InternetSharing  0.0  00:00.19 2     2   52     3156K  0B     0B     98642 1     sleeping *0[1]      0.00000 0.00000    0   2675     150    2563      1046      7439      2166      1109      46      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
